beach_id,beach_name,area,country,region,lat,lon,timezone,beach_text_summary,ability_level,ability_level_long_text,local_vibe,local_vibe_long_text,crowd_factor,crowd_factor_long_text,spot_rating,spot_rating_long_text,shoulder_burn,shoulder_burn_long_text,water_quality,water_quality_long_text,hazards,access,bring_your,seabed,best_season
249,Jack Beach,Northern Morocco,Northern Morocco,Morocco,33.5093,-7.8848,Africa/Casablanca,,,,,,,,,,,,,,,,,,
250,El Oualidia,Central Morocco,Central Morocco,Morocco,32.7417,-9.0427,Africa/Casablanca,,,,,,,,,,,,,,,,,,
251,Safi,Central Morocco,Central Morocco,Morocco,32.3198,-9.2583,Africa/Casablanca,"Previously a semi-secret Moroccan gem, Safi has gotten a healthy dose of attention over the past few years as pros and barrel-hounds have chased and documented a handful of notable swells recently. One of the best barreling sand points in Morocco (if not the world), but also fickle/rare and extremely heavy.",Advanced,Advanced ,Doable,The local bodyboarders hold it down.,Moderate,Gets busy when it's on (which is only once or twice per year).,Perfect,"About as good as a right-hand point gets, assuming you like below-sea-level barrels.",Exhausting,"Heavy, slabby point with the expected currents.",Clean,"Better than you'd think, considering it's right outside a town.","Rocks, neck-breaking slabs.",Go to the town of Safi and drive to the point.,"Shortboard, bodyboard","Rocky, sandy point.","The wave rarely breaks, but when it does it's typically in winter."
252,Boilers,Central Morocco,Central Morocco,Morocco,30.6238,-9.8764,Africa/Casablanca,"The first spot heading south as you round the headland of Cap Ghair is a zippy right-hander visible in the distance from the road. The prevailing winter winds blow offshore, making the area the capital of Moroccan surfing with several world-class waves within an hour's drive of each other, all centered around the town of Taghazout.The right pointbreak called The Boiler is named for the rusty hull of a ship that sits just underwater at the top of the point. Its boiler is visible and gurgling at low tide. The wave is a quick runner that breaks along the urchin-covered rocks with a lot of speed and punch. Lower tides are best as they give it more zip but be careful at the paddle-out as the rocks are covered with sea urchins.The place works from waist high to double-overhead and bigger, and when the swell is solid and the crowds spread out over the region's various waves. The Boiler can offer a dream session of offshore winds and overhead sets that will have you hooting your friends as you paddle back up the point.Located on the far west end of the cape, it picks up more swell than the famed Anchor Point and is a good option if the swell is small. Camping in the dirt on the cliff will have you out at dawn, but there's nothing out there at night but stars.",Intermediate - advanced,Intermediate to advanced,Doable,Serious and aggressive when it's on.,Mellow,"Much less crowded than Anchor Point, with better surfers.",Perfect,Good right that breaks near an old ship boiler.,Exhausting,Can be a workout when it has size.,Clean,Not bad.,Getting in and out can be a bit sketchy.,"A bit hard to find, visible from highway as you drive along the headland.",Shortboard,Reef/point,Fall into winter as the North Atlantic storm track gets active.
254,Agadir,Southern Morocco,Southern Morocco,Morocco,30.4078,-9.6064,Africa/Casablanca,,,,,,,,,,,,,,,,,,
255,Ocean Beach,San Francisco County,Northern California,"California, North",37.7553,-122.517,America/Los_Angeles,"Ocean Beach is the most emotional stretch of beach in all of California, and perhaps the world, because it's located dead center in the middle of California, and it's open to every burble and bellow from the north and the south. The winds are dynamic, but the real factor is the tide. All that water moving in and out of the Golden Gate sweeps up and down Ocean Beach with enough force to dislocate swell and shift sandbars from hour to hour. Ocean Beach has many, many moods, from the manic ecstasy of clear, blue offshore fall days to the gloom and doom of stormy winter, windy spring and gray summer. There is no stretch of ocean in California that changes as much from hour to hour, day to day and season to season as Ocean Beach.When Ocean Beach is on, you will see three miles of shifting, meaty, dark-green offshore peaks, from head-high to triple-overhead, cannonading the surf zone from south, west and north. A perfect day at Ocean Beach can be a mind-boggling sight, a mile after mile of perfect surf, with scattered humans doing their best to paddle through the impact zone, make it out the back and catch one of the buggers.On a lot of days at Ocean Beach, just getting out can be a major accomplishment. Depending on swell and tide and sandbar, on many days there is a 200-yard ""zone of death"" in between the beach and the lineup. It can be as hard to get off the beach and out to sea for a surfer as it was for a marine to get from sea to shore on the beaches of Normandy. It takes knowledge, skill, strength and courage, but the deciding factor on a lot of days is still dumb luck.Make it outside, and there are rewards, but your troubles aren't necessarily over. A good day at Ocean Beach is as good as any beachbreak in the world, but the good peaks here have a maddening quality of always being 50 yards away from where you're sitting. Even good surfers who surf the place all the time will get skunked, catching maybe one or two waves an hour, while paddling back and forth, trying to hunt down the big, shifting beasts.Ocean Beach is bordered by Kelly's Cove on the north end and Sloat Street on the south end. In between are three miles of beachbreaks, which become emptier and lonelier from north to south. There is lots parking from Kelly's Cove down to VFW's in front of Golden Gate Park. At Lincoln Avenue, the parking lot ends, the dunes begin and the streets become alphabetical, beginning at Irving and running all the way to Wawona. You have to park along La Playa or Great Highway the Lesser to walk across Great Highway the Greater to get to the beach. Remember to look both ways as you cross Great Highway because traffic goes by fast.",Intermediate - advanced,Intermediate-Advanced,Intimidating,Small days see some attitude.,Moderate,"Despite a long 3 mile beach, crowds are steadily increasing.",Perfect,Quite good.,Exhausting,Strong if it's solid overhead. Often difficult even when it's small.,Clean,Minimal and nothing really to worry about.,"Frozen foreheads, noodle arm, broken boards, clean-up sets, and the current. And, as usual, sharks. But this is Northern California, you knew that already.",Public parking on the north and south ends. Parking in the avenues for the rest of it.,"Shortboard, fish, funboard, longboard, gun",Sand,October-January
256,Davenport Landing,Santa Cruz County - North,Central California,"California, Central",37.0233,-122.216,America/Los_Angeles,"Turning right on Swanton Road, there is decent surf at Davenport Landing. There's a lined-up left reef on the south end of the beach and a big right on the north end.",All Abilities,Beginner-Advanced,Doable,Pretty laid back. But there are always a few old crusties from Santa Cruz who think their sovereignty extends this far up the coast.,Moderate,Might have it alone on a weekday morning. The weekends can get crowded.,Fun,Good.,Medium,Not too bad.,Clean,Mostly clean.,"Sharks, rocks.","Easy, if you known where to look.","Shortboard, funboard","Reef, rock",January-December
257,Four Mile,Santa Cruz County - North,Central California,"California, Central",36.9647,-122.125,America/Los_Angeles,"A rippable right reef/point, four miles outside of Santa Cruz. Breaks all winter, blows out easy and is occasionally a great wave.",Intermediate - advanced,Intermediate-Advanced,Intimidating,Sometimes high. Popular place.,Heavy,Sometimes high. Popular place.,Fun,Good.,Medium,Moderate.,Clean,Mostly clean.,Grumpy locals and hillbillies with mean dogs. Thieves in parking lot.,Walk in from parking lot.,"Shortboard, funboard","Rock reef, semi-gnarly.",November-February
258,Manresa Beach,Santa Cruz County - South,Central California,"California, Central",36.9318,-121.864,America/Los_Angeles,"A beachbreak that catches a lot of swell, Manresa is a standby spot year-round, as it faces west and is out of the shadow of Santa Cruz. Manresa can be overhead when the rest of Santa Cruz is flat, and it can be triple-overhead and almost impossible to surf on bigger swells during the winter. After Manresa Beach, you enter the Fertile Crescent of Monterey Bay.Between Manresa and Moss Landing, you'll find mile after empty mile of open, lonely beachbreaks, just waiting to be explored. This area is best in the winter when the offshore winds are blowing, and it can be a wide-open forest of perfect surf. During the winter, the prevailing wind is offshore and the surf is endless.",All Abilities,Beginner-Advanced,Welcoming,Cool.,Mellow,Lots of room here. No reason for crowds.,Fun,Fun.,Exhausting,"Strong and when it's big, you might not make it out.",Fair,Fair,"Occasional shark sightings, tired arms on big swells.",Parking at Manresa State Park.,"Shortboard, gun, funboard, fish, skimming",Sand,January-December
259,Moss Landing,Monterey County,Central California,"California, Central",36.8113,-121.793,America/Los_Angeles,"One of California's best beachbreaks. During the winter, when a W swell is filling the bay and the offshores are howling out of the Salinas Valley, Moss Landing will take your breath away, in more ways than one. Just offshore, hidden under all that water, the Monterey Canyon drops down to a maximum depth of over a mile, and the Canyon has an effect on what happens along the beach. The swell that hits Moss Landing has come out of very, very deep water and hasn't been slowed down by the continental shelf. The result is a very powerful, often frustrating, beachbreak. It can be almost impossible to get out at Moss Landing, and there is always the possibility of getting hammered by a triple-overhead wave.In the winter, Moss Landing is a very serious surf spot -- big, powerful and challenging. The surf mellows the closer you go to the jetty to the south, and it gets gnarlier as you go north, toward the dunes. There also is surf on the other side of the harbor, in front of the Moss Landing Marine Lab and the Monterey Bay Aquarium Research Institute.",Intermediate - advanced,Intermediate-Advanced,Intimidating,Very vibey at times. There have been some WWF brawls at Moss Landing between the locals and visitors.,Moderate,"It can get edgy out there, but there is lots of room.",Perfect,Really good.,Exhausting,"Strong, but can be impossible to get out when it's big.",Clean,Mostly clean.,"Frigid offshore winds, sharks, ice-cream headaches, icy stares, pushing through 30 waves in a set, or getting caught inside by a triple-overhead bomb.",Parking at Moss Landing State Park.,"Shortboard, gun",Sand,September-April
260,Andrew Molera State Park,Monterey County,Central California,"California, Central",36.2803,-121.859,America/Los_Angeles,"The driftwood-strewn beach here is safeguarded from all wind directions except W, so it blows offshore almost every day of the year. The prevailing NW winds whip around and shoot directly into the oncoming waves -- sometimes too fiercely to grant you wave entry. The flow from the Big Sur River does a fine job of maintaining the gravelly sandbar in its correct alignment here, resulting in a semi-point setup with fast, thin rights and shorter, mushier lefts burgering into the rivermouth itself. Best when it's head-high and under, the rights can line up quite nicely, providing a taut lip to whack and, occasionally, to tuck under. Although it's probably the most reliable spot in all of Big Sur due to its seemingly endless offshores, the Big Sur Rivermouth can also be pathetically closed-out, shallow and honeycombed with currents that transport you merrily on down the beach, far away from the desired peak. Always worth a look during dismal, unending bouts of onshores, which tend to occur every day.",Intermediate,Intermediate,Intimidating,Oh yeah.,Moderate,"Five's a crowd here, which is fairly often since the winds are usually favorable.",Fun,Can be fun.,Medium,Moderate.,Clean,Mostly clean except after large rainfalls. ,"Grouchy locals, sharks.",North on Highway 1 out of San Simeon and watch for the signs on the road marking the Andrew Molera State Park entrance.,"Shortboard, funboard, longboard, fish",Sand and rock.,June-October
261,Cambria,San Luis Obispo - North,Central California,"California, Central",35.5802,-121.121,America/Los_Angeles,,,,,,,,,,,,,,,,,,
278,Secos,North,Los Angeles County,"California, South",34.04,-118.88,America/Los_Angeles,"An unmistakable righthander just a half-mile south of the county line, where PCH dips down near a scenic cove fringed with large rocks, on most days, the wave also known as Secos peaks up near the big rock outside, then reforms into a spunky inside section. The problem here is the confined takeoff area: it supports about six people. Leo Carrillo is best on a medium tide, with S or SW swells up to double-overhead. There are a series of rock reefs outside that will hold a big W or NW and push the takeoff zone north and outside of the rock, making it set up more like a point. On the biggest swells, there is another point farther north called Primo's.",Intermediate - advanced,Intermediate to advanced,Welcoming,Not much.,Heavy,No vacancy.,Fun,Really fun when the stars align.,Medium,Not typically too bad but can turn into a lot of duck diving if it's solid.,Clean,Not great after a rain.,"Greedy longboarders, errant wind surfers.",Look for the signs on PCH.,"Shortboard, fish, funboard, longboard, kiteboard",Cobblestone,March-October
279,Malibu - First Point,North,Los Angeles County,"California, South",34.0321,-118.678,America/Los_Angeles,,,,,,,,,,,,,,,,,,
280,Santa Monica Municipal Pier,South Bay,Los Angeles County,"California, South",34.0075,-118.497,America/Los_Angeles,,,,,,,,,,,,,,,,,,
1892,Kvassheim,Stavanger to Egersund,Stavanger to Egersund,Norway,58.5488,5.6695,Europe/Oslo,,,,,,,,,,,,,,,,,,
262,Morro Bay,San Luis Obispo - North,Central California,"California, Central",35.376,-120.866,America/Los_Angeles,"The northernmost of the volcanic peaks spanning from the city of San Luis Obispo to Morro Bay, 576-foot-tall Morro Rock (also called the Gibraltar of the Pacific) exists in a state preserve for the nesting of the endangered peregrine falcon - so surfing on the rock's north side is the closest you'll ever come to this intriguing monolith. Because the beach faces due west, any and every kind of swell hits the sandbars of Morro Rock, occasionally converting an ordinary California beachbreak into a magical mile or two of feathering A-frames and vomiting tubes. But on a daily basis, this is simply another generic beachbreak with customary closeouts, rip currents and the failure to handle anything over six-feet. The farther up the beach you go, the bigger and beefier the waves become. There's a mushy left off the rock itself, but if you crave power and consistency, you'll scarcely be disappointed with the beach's north end. If the sandbars are formed just right, they'll manage big swells. The problem then becomes making it out.",Beginner - intermediate,Beginner-Advanced,Welcoming,"The locals are mostly friendly, so smile and enjoy the company.",Moderate,"Close to the Rock can be competitive, but you can always find your own peak up the beach.",Fun,Fun.,Medium,"Not bad, but can be stronger if solid.",Clean,Mostly clean.,Closeouts.,"From the south, exit Highway 1 onto Harbor Boulevard and take it to Embarcadero. Hang a right and drive around the bay's north end until you reach Coleman City Park, where you'll leave the car. You can also take Atascadero Road.","Shortboard, funboard, longboard, fish, bodyboard, skimming, kiteboard",Sand,September-November
263,Shell Beach,San Luis Obispo - South,Central California,"California, Central",35.171,-120.704,America/Los_Angeles,"Situated north of Pismo Beach and south of Avila Beach in San Luis Obispo County, Shell Beach enjoys a little bit more exposure, and therefore more consistency. Nevertheless, it still requires a solid NW or SW swell to really start working. Comprised of a pair of reef peaks, most of the time it is mushy and user-friendly for the beginners, but as the swell fills in and the quality improves, the savvy local crew are on it. Enjoying some protection from NW winds, Shell Beach doesn’t tend to blow out as quickly as other more exposed Central California beaches. And as far as scenery and nature vibes go, Shell Beach is hard to beat. Hit it on a warm autumn day when the sun’s shining, the wind’s offshore and the surf’s pumping and you’ll enjoy an epic slice of classic California.",All Abilities,"When it’s small and crumbly Shell Beach is a good option for those just starting out on their surfing journey. The bigger the surf gets the more experience counts, as there can be multiple-wave sets and strong currents.",Welcoming,Shell Beach enjoys pretty good vibes most of the time.,Moderate,"There is a local crew that’s on it when it’s good, but day in and day out the vibes are pretty relaxed.",Fun,"A beautiful Central California beach that struggles with wave quality as it closes out the bigger it gets. More exposed than nearby Avila Beach, the right combination of swell size and tide is the key.",Medium,"When it starts pumping on a proper groundswell, be prepared to paddle in a thicker (4-mil) wetsuit.",Clean,"Typically isn’t a concern, but caution should always be exercised after periods of heavy rain.","Cold water, occasional sharks and some scattered rocks — pretty standard concerns in Central California. And if you’re surfing close to the pier, getting tangled up in the pilings.",Access isn’t a problem here. Find street parking in Avila and walk down to the beach.,"Shortboard, fish, funboard, longboard",Rock.,"Autumn is ideal for Shell Beach, when crossed-up swells are in the water and easterly winds are more common."
264,Oceano/Pismo,San Luis Obispo - South,Central California,"California, Central",35.1053,-120.634,America/Los_Angeles,,,,,,,,,,,,,,,,,,
265,Jalama Beach County Park,Santa Barbara - North,Santa Barbara County,"California, South",34.5091,-120.503,America/Los_Angeles,"With the hulking Vandenberg Air Force Base to the immediate north and untouched Point Conception coastline to the south, the basic truth is, if you motor all the way out to Jalama and the surf sucks, you're barred. Frequent, heavy NW winds plague the north coast, so it's wise to hit it early or not at all. Early-morning offshores can be freezing. Considerably bigger and much more exposed than the county's relatively tame south coast, Jalama packs a mean punch, summer or winter, so you can expect truckloads of juice out here if the swell's pumping.A primo SW swell area and the northernmost portal for surfing in Santa Barbara County, Jalama Beach County Park has three recognized surf spots: the Beachbreak, Cracks and Tarantulas (or T's for short).The Beachbreak extends from the campground area down to Cracks, which is distinguished by a large indentation in the bluffs. It's all shifty, semi-hollow sandbars, best on a high tide with clean, peaky swells. Cracks holds size, but getting out becomes a problem (or outright impossibility). The currents can be bad, too. Cracks is a good place to go if the swell's too small for Tarantulas. Primarily a left, the rights at Tarantulas can also get quite good, peeling fast for a ways into the boulder-strewn inside. The lefts are perfect for lip-smacking and roundhousing, with a comfy channel for easy paddles and time-outs. The shape is much more consistent than that of the Beachbreak area, so the jog down to T's is usually well worth the effort. The takeoff zone is pretty small, so 10 surfers can make Tarantulas seem overly crowded.",Intermediate - advanced,Intermediate to advanced,Welcoming,"Generally not a problem, but things can get pretty uptight at Tarantulas.",Moderate,"Horrifyingly crowded on a well-called south swell in the middle of a flat summer, but it can be ok on normal days.",Fun,"Pretty typical beachbreak (or reef) most days, can get exceptional on a good combo at the beachbreak or a solid SW or NW/W swell at Tarantulas.",Medium,Usually pretty easy unless there is a big swell.,Clean,Pretty clean.,"Other people, howling NW winds, sharks.","First and foremost, it'll cost you $10 per day to park legally in the Jalama campground area. Surfers used to park up top along the road lined with ""No Parking"" signs, but the risk of getting a ticket (or worse, towed) has increased over the years. Best bet is to suck it up and pay for day use in the campground. Jalama is 28 miles from 101. To get there coming from the south, exit 101 onto Highway true, a bit north of the Gaviota Pass tunnel.","Shortboard, fish, funboard, longboard, gun, skimming, bodyboard, kiteboard",Sand and rock,"January-December, but fall can be epic."
266,The Ranch - Cojo Reef,Santa Barbara - West,Ventura County,"California, South",34.4489,-120.434,America/Los_Angeles,"Uh-oh. Here we go again -- the dreaded surf media's shameless exploitation of SoCal's secret little jewel. Well, not exactly. Due to years of saturated bickering and ballyhoo regarding the coveted Hollister and Bixby ranch reefs and points, we've decided here to simply offer an overview, touch briefly on the access clause, then leave the rest up to you.What The Ranch surfing tug-of-war essentially boils down to is this: throughout the '60s, The Ranch was solely ruled and regulated by members of the Santa Barbara County Surfing Association. When the Hollister Ranch was subdivided in the early '70s, affluent surfers swarmed in and purchased parcels. It didn't take long for them to believe it was (and still is) their God-given, exclusive right to surf The Ranch by themselves or with some friends.What ensued is the standard selfish surfer mind-set that runs rampant throughout the world, despite the fact that certain places like The Ranch were long ago exposed and are hardly something to pretend doesn't exist. Granted, The Ranch would be one of the most crowded spots in California if it weren't for the requisite $75,000 parking pass, unless you consider how fickle and inconsistent the reefs actually are. Because of its due-south exposure and Channel Islands partial shadow, swells usually hit smaller at The Ranch and tend to be highly tide sensitive. Yes, spots like Razorblades, Little Drakes, Rights and Lefts and Cojo offer spurts of perfection on any given day, but if you don't already known this, it's probably not worth worrying about now. Because the fact is, it ain't a whole lot of fun if you aren't one of the in-crowd.Much to the ""owners'"" chagrin, they don't get to surf alone at The Ranch. The numbers of wave-hunters who boat up are seemingly infinite, launching their inflatables from the beach at Gaviota if the pier winch is broken (and it often is thanks to cooperative Ranch hounds). If you do pull up at one of the headliner breaks in an inflatable, chances are you will be either glared at or told to split. And watch out for the kamikaze Ranch local in scuba gear who specializes in pulling anchors.Nonetheless, The Ranch remains a magical fetch of coast, perched just above the urban sprawl of Southern California, and it's little wonder why so many people are fanatic about preserving the integrity of what once embodied the greater Southern California coast before the blitz of people, bulldozers and concrete.",Intermediate - advanced,Intermediate to advanced,Intimidating,Hostile.,Mellow,Hostile at the premier spots with land access for parcel owners.,Perfect,Quirky perfection in old California.,Medium,Manageable unless a local cuts your anchor line.,Clean,Clean as it gets in SoCal.,Surly locals.,Most difficult access in Southern California if you don't have land-access. Only other options if you aren't part of the in crowd require beach launching a boat/zodiac/jet ski from Gaviota or a larger boat from Santa Barbara.,"Shortboard, fish, funboard, longboard, bodyboard",Sand and rock,"January-December, but most of the spots with their southerly view fully blocked by the Channel Islands best November-March."
267,Beavers/Hazards,Santa Barbara - West,Santa Barbara County,"California, South",34.4615,-120.054,America/Los_Angeles,,,,,,,,,,,,,,,,,,
268,Sands Beach,Santa Barbara - West,Santa Barbara County,"California, South",34.408,-119.882,America/Los_Angeles,,,,,,,,,,,,,,,,,,
269,Campus Point,Santa Barbara - East,Santa Barbara County,"California, South",34.4046,-119.842,America/Los_Angeles,"The surf usually isn't the best here, but it does have its epic days and is considerably more consistent than the county's more southerly or easterly beachbreaks. Campus Point requires a pretty big swell to reach its potential, and those kinds of swells usually coincide with foul S winds and overall crummy conditions. Nevertheless, Campus Point is a long wave with several sections, including a zippy inside wall during low tide.",Beginner - intermediate,Beginner to intermediate,Welcoming,"Just a bunch of people (mostly students) enjoying the water and waves, little more.",Moderate,The hordes flock to the surf spots of Isla Vista.,Fun,"Soft, lined up pointbreak most days.",Medium,"Mellow most days, a little extra work if it is solid.",Clean,Pretty clean unless it just rained.,"The UCSB crowd, getting run over.","All directions are oriented for northbound travelers. Exit 101 onto 217 and drive to the UCSB entrance gate. Hang a quick left and you'll eventually find the parking lot, which is across the street from the college dorms. There is a nominal fee to park here, and you can either pay at the entrance gate kiosk, or risk another parking ticket.","Shortboard, fish, funboard, longboard, bodyboard",Rock,October-February
270,Leadbetter Beach,Santa Barbara - East,Santa Barbara County,"California, South",34.397,-119.701,America/Los_Angeles,"One of the more dependable waves situated in Santa Barbara proper, what Leadbetter Beach lacks in power if makes up for in playfulness. Featuring long, gentle rights off a picturesque point, it is a preferred spot for longboarders, as well as those who are learning to trim and ride open wave faces. With views of the Santa Barbara Harbor and Stearns Wharf, it’s a classic spot in the heart of one of California’s most wave-rich zones. Autumn and winter are the most dependable time of year here, as Leadbetter Beach needs a decent W swell to start breaking. As the size increases, the quality of the wave improves considerably. Sectiony at low tide, a little extra water helps smooth things out a bit. And while there’s almost always a handful of surfers out, the daily vibes in the water are generally mellow.",Beginner - intermediate,"Soft, slow, gentle rights that are idea for longboards and those just learning to find the glide.",Welcoming,"Usually crowded, but compared to spots up north, localism isn’t a huge issue.",Moderate,"As it’s one of the more consistent breaks in Santa Barbara, Leadbetter Beach can get busy, especially on a bluebird, summer weekend.",Fun,"Fun for bigger boards and beginners most days of the Autumn and winter, but as the swell picks up, the wave gets considerably more interesting.",Light,"Considering you’ll probably be on a longboard and there’s a legit channel to utilize, the paddle shouldn’t be a huge issue for anybody that’s in decent surf shape.",Fair,"The combination of the nearby Santa Barbara Harbor and a lack of strong wave action and currents can contribute to a high bacteria count in the water. Periods of heavy rain will exacerbate this factor. But the water quality is closely monitored, so keep an eye out for warning signs if things are dicey.",Getting run over by a beginner or stepping in tar on the beach.,"Park along Cliff Drive or La Marina Boulevard, or in the free car park at pleasant Shoreline Park. Take the trail down the bluff fronting the wave.",Longboard,Sandy beach that gives way to a rock reef/point. Kelp helps keep the water glassy.,"Because Santa Barbara is so shadowed from summertime swells from the south due to the offshore Channel Islands, Autumn and winter are really the only viable time of year here."
271,Hammonds Reef,Santa Barbara - East,Santa Barbara County,"California, South",34.4146,-119.637,America/Los_Angeles,"If you're intent on surfing this right point, your best indicator is Rincon. As soon as it's double-overhead, Hammonds will be on. The wave, which rarely gets bigger than a few feet overhead, improves as it approaches the inside, where an end bowl tends to bend back at you. Since it is so inconsistent, there's a whole crew of style-conscious locals who get their pick of the litter.",Intermediate - advanced,Intermediate to advanced,Doable,Hungry.,Heavy,Tight.,Fun,Quality right reef when Santa Barbara is pumping.,Medium,Average.,Clean,Pretty clean unless it just rained.,"Drop-ins, getting hypothermia waiting for a wave.","Difficult, either valet at the Four Seasons (an obvious sign that you're a visitor) or park outside the hotel and walk.",Shortboard,Rock,October-February
272,Rincon Point,Ventura West,Santa Barbara County,"California, South",34.3724,-119.477,America/Los_Angeles,"Known as the ""Queen of the Coast"", Rincon is one of the best waves on the planet. A classic California pointbreak, Rincon is actually the product of a rivermouth that has groomed the point over millions of years. If you can luck into a set off the Indicator, race through the section that runs across the Rivermouth, connect it to the Cove and carve to the freeway (a total distance of about 300 yards), you've completed the iditarod of pointbreak surfing. As its location is right off the highway, Rincon is notoriously crowded with more than 150 people out on nearly every good swell. Furthest out the point, the Indicator is where the marathon women and men pull out their longer boards, sit out at the top of the point and try to go the distance. The Rivermouth is an unpredictable, sometimes polluted, sometimes ultra-hollow section that links the Indicator to the Cove. The Cove is the last flawless section that starts halfway up the point and funnels onto the rocks lining Highway 101. The wave usually sections in various areas offering a number of takeoff spots depending on the swell. Many long-period WNW swells are sucked into Pt. Conception, and even though Ventura to the south may be pumping, Rincon will be smaller until the swell period drops below 16 seconds or the swell shifts more from the west-southwest.",Intermediate - advanced,Intermediate to advanced,Welcoming,"Usually light, sometimes moderate.",Heavy,Heavy.,Perfect,Arguably the best pointbreak in California.,Medium,No shortage of work when it is on.,Fair,Pretty average most days but can be toxic if the Creek is running after a big rain.,"The crowd, parking lot rip-offs, drop-ins.","Easy, park in the north or south lots for free.","Shortboard, fish, funboard, longboard, bodyboard, bodysurfing",Cobblestone,October-February
273,Hobson County Park,Ventura West,Ventura County,"California, South",34.3374,-119.412,America/Los_Angeles,,,,,,,,,,,,,,,,,,
274,Pitas Point/Faria County Park,Ventura West,Ventura County,"California, South",34.3171,-119.387,America/Los_Angeles,"On minus low tides and solid winter swells, the inside section at Pitas (line up in front of the spiral staircase) becomes the Santa Anita Raceway, with ledgy right walls galloping into sand-sucking caverns. There's probably only a 50 percent makability rate on the good days, but five and six-second tubes are not uncommon -- the true Rincon alternative. The awkward dance along the barnacle-encrusted cobblestones is worth the hassle when the Aleutian juice is on tap.",Intermediate - advanced,Intermediate to advanced,Welcoming,"Usually light, some vibe from local property owners.",Moderate,Moderate.,Fun,Tubes when it is on.,Medium,Treadmill when it's pumping.,Clean,Manageable but can be rough after a rain.,"A few rocks, the walk at high tide.","A pain, you have to walk below the high tide from either direction.","Shortboard, fish, funboard, longboard",Cobblestone/sand,October-February
275,California Street (C Street),Ventura West,Ventura County,"California, South",34.2728,-119.301,America/Los_Angeles,,,,,,,,,,,,,,,,,,
276,Silver Strand,Ventura East,Ventura County,"California, South",34.1515,-119.221,America/Los_Angeles,,,,,,,,,,,,,,,,,,
277,County Line/Yerba Buena Beach,Ventura East,Ventura County,"California, South",34.0518,-118.964,America/Los_Angeles,"Always bigger and colder than it looks, this is the first consistently surfed spot south of Point Mugu (it's actually just north of the Los Angeles County line). Once called Pete's Reef for the burger stand that once stood on the cliff, County Line can be a fun hot-dog wave, while the beachbreak can get nasty and hollow at high tide. It is probably the most visible surf spot on this stretch of highway, but the indistinct lineup can be hard to figure out, and that spreads the crowd around nicely.On the north end of the beach, there's a kelpy point/cobblestone right that consistently offers the best waves. It lines up best on W and SW swells with a medium tide, though the beachbreak gets plenty of traffic during the summertime souths. There's also a hollow, rock-riddled left at the far north end.",All Abilities,"Intermediate, although it's a favorite beginner's spot",Welcoming,Cordial.,Moderate,"Close proximity to the Valley means it is rarely uncrowded, but it is still easy to get waves.",Fun,"Beachbreak gets fun on a combo of swells, while the kelpy point/cobblestone right offers the most shapely waves with larger SW or W swells.",Medium,Not typically too bad but can turn into a lot of duck diving if it's solid.,Clean,Not great after a rain.,"The highway, car rip-offs, bikers at Neptune's Net.","Park on PCH, directly in front of Neptune's Net.","Shortboard, fish, funboard, longboard",Sand and rock,"Gets good year-round, but fall is good most often."
281,Manhattan Beach,South Bay,Los Angeles County,"California, South",33.8837,-118.414,America/Los_Angeles,"The best bets for good surf are mixed, combo swells and hope for defined sandbars. All spots south of Manhattan are increasingly shadowed from south/summer swell and rely primarily on southwest, west, and northwest swells. Marine Street is usually the best south swell spot in Manhattan. The beachbreaks are usually walled with some better-shaped waves near the Manhattan Pier.",All Abilities,Beginner to intermediate,Welcoming,Minor.,Moderate,Usually pretty spread out.,Poor,Typically a hopeless closeout but can be really good when the rest of SoCal struggles.,Light,"Not bad when it is small, plenty of work to be had when it is pumping.",Fair,It's the middle of LA.,Negotiating closeouts.,"Easy, various local streets and lots.","Shortboard, fish, funboard, longboard, bodyboard, skimming, bodysurfing",Sand,October-April
